municipio,periodo_continuo,PPC,Joinpoints,segmento,significancia,pvalor
BARANOA,2,37.1287,4,0.0,1.0,0.024395
BARANOA,4,37.1287,4,0.0,1.0,0.024395
BARANOA,5,37.1287,4,0.0,1.0,0.024395
BARANOA,6,37.1287,4,0.0,1.0,0.024395
BARANOA,7,37.1287,4,0.0,1.0,0.024395
BARANOA,8,37.1287,4,0.0,1.0,0.024395
BARANOA,9,37.1287,4,0.0,1.0,0.024395
BARANOA,10,,4,0.0,1.0,0.024395
BARANOA,11,0.4943,4,1.0,0.0,0.731054
BARANOA,12,0.4943,4,1.0,0.0,0.731054
BARANOA,13,0.4943,4,1.0,0.0,0.731054
BARANOA,14,0.4943,4,1.0,0.0,0.731054
BARANOA,15,0.4943,4,1.0,0.0,0.731054
BARANOA,16,0.4943,4,1.0,0.0,0.731054
BARANOA,17,0.4943,4,1.0,0.0,0.731054
BARANOA,18,0.4943,4,1.0,0.0,0.731054
BARANOA,19,0.4943,4,1.0,0.0,0.731054
BARANOA,20,0.4943,4,1.0,0.0,0.731054
BARANOA,21,0.4943,4,1.0,0.0,0.731054
BARANOA,22,0.4943,4,1.0,0.0,0.731054
BARANOA,23,0.4943,4,1.0,0.0,0.731054
BARANOA,24,0.4943,4,1.0,0.0,0.731054
BARANOA,25,0.4943,4,1.0,0.0,0.731054
BARANOA,26,0.4943,4,1.0,0.0,0.731054
BARANOA,27,0.4943,4,1.0,0.0,0.731054
BARANOA,28,0.4943,4,1.0,0.0,0.731054
BARANOA,29,0.4943,4,1.0,0.0,0.731054
BARANOA,30,0.4943,4,1.0,0.0,0.731054
BARANOA,32,0.4943,4,1.0,0.0,0.731054
BARANOA,34,0.4943,4,1.0,0.0,0.731054
BARANOA,35,0.4943,4,1.0,0.0,0.731054
BARANOA,36,0.4943,4,1.0,0.0,0.731054
BARANOA,37,0.4943,4,1.0,0.0,0.731054
BARANOA,38,,4,1.0,0.0,0.731054
BARANOA,39,-45.9739,4,2.0,0.0,0.178764
BARANOA,40,-45.9739,4,2.0,0.0,0.178764
BARANOA,41,,4,2.0,0.0,0.178764
BARANOA,43,-0.5358,4,3.0,0.0,0.70026
BARANOA,46,-0.5358,4,3.0,0.0,0.70026
BARANOA,47,-0.5358,4,3.0,0.0,0.70026
BARANOA,48,-0.5358,4,3.0,0.0,0.70026
BARANOA,49,-0.5358,4,3.0,0.0,0.70026
BARANOA,50,-0.5358,4,3.0,0.0,0.70026
BARANOA,51,-0.5358,4,3.0,0.0,0.70026
BARANOA,52,-0.5358,4,3.0,0.0,0.70026
BARANOA,53,-0.5358,4,3.0,0.0,0.70026
BARANOA,54,-0.5358,4,3.0,0.0,0.70026
BARANOA,55,-0.5358,4,3.0,0.0,0.70026
BARANOA,57,-0.5358,4,3.0,0.0,0.70026
BARANOA,58,-0.5358,4,3.0,0.0,0.70026
BARANOA,59,-0.5358,4,3.0,0.0,0.70026
BARANOA,60,-0.5358,4,3.0,0.0,0.70026
BARANOA,61,-0.5358,4,3.0,0.0,0.70026
BARANOA,62,-0.5358,4,3.0,0.0,0.70026
BARANOA,63,-0.5358,4,3.0,0.0,0.70026
BARANOA,64,-0.5358,4,3.0,0.0,0.70026
BARANOA,65,-0.5358,4,3.0,0.0,0.70026
BARANOA,66,-0.5358,4,3.0,0.0,0.70026
BARANOA,67,-0.5358,4,3.0,0.0,0.70026
BARANOA,68,,4,3.0,0.0,0.70026
BARANOA,69,17.1033,4,4.0,1.0,0.018796
BARANOA,70,17.1033,4,4.0,1.0,0.018796
BARANOA,71,17.1033,4,4.0,1.0,0.018796
BARANOA,72,17.1033,4,4.0,1.0,0.018796
BARANOA,73,17.1033,4,4.0,1.0,0.018796
BARANOA,74,17.1033,4,4.0,1.0,0.018796
BARANOA,75,17.1033,4,4.0,1.0,0.018796
BARANOA,76,17.1033,4,4.0,1.0,0.018796
BARANOA,77,17.1033,4,4.0,1.0,0.018796
BARANOA,78,17.1033,4,4.0,1.0,0.018796
CAMPO DE LA CRUZ,18,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,20,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,21,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,22,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,23,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,24,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,25,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,26,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,27,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,29,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,34,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,46,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,47,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,49,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,50,-4.9155,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,51,,3,0.0,1.0,0.029594
CAMPO DE LA CRUZ,52,82.1014,3,1.0,1.0,0.041592
CAMPO DE LA CRUZ,53,82.1014,3,1.0,1.0,0.041592
CAMPO DE LA CRUZ,54,82.1014,3,1.0,1.0,0.041592
CAMPO DE LA CRUZ,55,82.1014,3,1.0,1.0,0.041592
CAMPO DE LA CRUZ,56,,3,1.0,1.0,0.041592
CAMPO DE LA CRUZ,57,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,58,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,59,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,60,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,61,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,62,-32.0029,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,63,,3,2.0,1.0,0.044791
CAMPO DE LA CRUZ,64,7.1317,3,3.0,0.0,0.173565
CAMPO DE LA CRUZ,68,7.1317,3,3.0,0.0,0.173565
CAMPO DE LA CRUZ,70,7.1317,3,3.0,0.0,0.173565
CAMPO DE LA CRUZ,71,7.1317,3,3.0,0.0,0.173565
