"municipio","periodo","casos_obs","casos_esp","REM"
"BARANOA","2017-2019",552,192.32027888391,2.87021214405166
"BARANOA","2020-2023",368,395.167164810043,0.93125146209174
"CAMPO DE LA CRUZ","2017-2019",33,70.6233532160476,0.467267532582997
"CAMPO DE LA CRUZ","2020-2023",94,144.147933109632,0.652107858726687
"CANDELARIA","2017-2019",32,49.3294699365821,0.648699449662426
"CANDELARIA","2020-2023",14,101.991770906883,0.137265976220589
"GALAPA","2017-2019",233,187.162732191968,1.24490595574881
"GALAPA","2020-2023",537,381.710134696677,1.406826676024
"JUAN DE ACOSTA","2017-2019",86,64.5320151454402,1.33267184987445
"JUAN DE ACOSTA","2020-2023",130,130.380012403122,0.997085347699251
"LURUACO","2017-2019",65,86.7273729233267,0.749475025116519
"LURUACO","2020-2023",207,176.13600406465,1.17522820560879
"MALAMBO","2017-2019",335,395.594167771966,0.846827449167819
"MALAMBO","2020-2023",1164,811.720006807716,1.43399200492508
"MANATÍ","2017-2019",56,61.163412536227,0.915580044962849
"MANATÍ","2020-2023",185,125.756214486993,1.4711002613643
"PALMAR DE VARELA","2017-2019",38,89.2885723363095,0.425586376909144
"PALMAR DE VARELA","2020-2023",39,184.467973230555,0.211418813341958
"PIOJÓ","2017-2019",7,20.3586297160777,0.343834535900612
"PIOJÓ","2020-2023",25,41.697271170639,0.599559618606497
"POLONUEVO","2017-2019",316,55.9734579341169,5.6455329304819
"POLONUEVO","2020-2023",66,113.761595649146,0.580160638776126
"PONEDERA","2017-2019",65,73.2851590616226,0.886946290794622
"PONEDERA","2020-2023",71,147.9018129897,0.480048206068607
"PUERTO COLOMBIA","2017-2019",92,153.411004627242,0.59969622272888
"PUERTO COLOMBIA","2020-2023",581,329.530856089673,1.76311258646412
"REPELÓN","2017-2019",34,80.606106613085,0.421804270527572
"REPELÓN","2020-2023",63,162.840249420448,0.386882237187786
"SABANAGRANDE","2017-2019",31,99.7873032235244,0.310660765433852
"SABANAGRANDE","2020-2023",60,206.395290777151,0.290704307128709
"SABANALARGA","2017-2019",426,286.130860581523,1.48882926900723
"SABANALARGA","2020-2023",582,571.721229811199,1.0179786400309
"SANTA LUCÍA","2017-2019",3,49.4676746543717,0.0606456644861691
"SANTA LUCÍA","2020-2023",36,102.170624903996,0.352351764842655
"SANTO TOMÁS","2017-2019",29,92.1403781321758,0.31473714985627
"SANTO TOMÁS","2020-2023",36,191.216857776086,0.188267919568869
"SOLEDAD","2017-2019",1587,1863.85386009481,0.851461605428266
"SOLEDAD","2020-2023",4024,3844.07401098047,1.04680606786071
"SUAN","2017-2019",21,36.8340585587854,0.57012452120868
"SUAN","2020-2023",80,75.7439933168096,1.05618936230876
"TUBARÁ","2017-2019",23,53.4987736238484,0.429916396994701
"TUBARÁ","2020-2023",52,109.072268643536,0.476748128985414
"USIACURÍ","2017-2019",36,37.9113582370365,0.949583493551302
"USIACURÍ","2020-2023",13,79.3967239548778,0.163734715394404
