municipio,Model,#Obs,#Param,DF,SSE,MSE,Auto Corr,Segment,Joinpoint,Joinpoint 95% LCL,Joinpoint 95% UCL,Intercept Estimate,Intercept Std Error,Intercept Test Statistic,Intercept P-Value,Slope Estimate,Slope Std Error,Slope Test Statistic,Slope P-Value,SlopeChg Estimate,SlopeChg Std Error,SlopeChg Test Statistic,SlopeChg P-Value,Covar-Int vs Int,Covar-Int vs Slope,Covar-Slope vs Slope,Corr-Int vs Int,Corr-Int vs Slope,Corr-Slope vs Slope
BARANOA,4,70,10,60,20.098604,0.334977,Uncorrelated,0,,,,-2.296081,0.628654,-3.652373,0.000573,0.315750,0.100299,3.148100,0.002634,,,,,0.395206,0.000000,0.701312,1.000000,0.000000,1.000000
BARANOA,4,70,10,60,20.098604,0.334977,Uncorrelated,1,10,6,17,0.812108,0.376541,2.156757,0.035333,0.004931,0.015301,0.322269,0.748449,-0.310819,0.101459,-3.063493,0.003361,0.010060,0.000000,1.050163,1.000000,0.000000,1.000000
BARANOA,4,70,10,60,20.098604,0.334977,Uncorrelated,2,38,14,39,24.396195,33.081674,0.737453,0.463925,-0.615703,0.837444,-0.735217,0.465275,-0.620634,0.837583,-0.740982,0.461801,0.141783,0.000000,0.000331,1.000000,0.000000,1.000000
BARANOA,4,70,10,60,20.098604,0.334977,Uncorrelated,3,41,30,52,-0.627342,1.024775,-0.612176,0.542899,-0.005373,0.018190,-0.295369,0.768804,0.610330,0.837641,0.728630,0.469264,0.000234,0.000000,22.996653,1.000000,0.000000,1.000000
BARANOA,4,70,10,60,20.098604,0.334977,Uncorrelated,4,68,43,76,-11.728968,4.795483,-2.445837,0.017620,0.157887,0.065195,2.421762,0.018709,0.163259,0.067685,2.412049,0.019165,1094.397130,0.000000,0.004250,1.000000,0.000000,1.000000
CAMPO DE LA CRUZ,3,37,8,29,12.751551,0.439709,Uncorrelated,0,,,,1.161091,0.520024,2.232765,0.034390,-0.050404,0.015919,-3.166314,0.003916,,,,,0.270425,0.000000,94.351209,1.000000,0.000000,1.000000
CAMPO DE LA CRUZ,3,37,8,29,12.751551,0.439709,Uncorrelated,1,51,46,53,-31.978609,16.336558,-1.957488,0.061105,0.599394,0.305290,1.963361,0.060384,0.649798,0.305704,2.125577,0.043201,0.000253,0.000000,0.026629,1.000000,0.000000,1.000000
CAMPO DE LA CRUZ,3,37,8,29,12.751551,0.439709,Uncorrelated,2,56,54,59,23.186940,9.713455,2.387095,0.024544,-0.385705,0.163184,-2.363621,0.025853,-0.985099,0.346166,-2.845743,0.008530,266.883128,0.000000,17.913510,1.000000,0.000000,1.000000
CAMPO DE LA CRUZ,3,37,8,29,12.751551,0.439709,Uncorrelated,3,63,58,71,-5.452494,4.232435,-1.288264,0.209001,0.068889,0.058972,1.168165,0.253341,0.454594,0.173513,2.619944,0.014488,0.093202,0.000000,0.003478,1.000000,0.000000,1.000000
CANDELARIA,0,22,2,20,12.429156,0.621458,Uncorrelated,0,,,,0.287416,0.368755,0.779422,0.444857,-0.014716,0.007798,-1.887187,0.073736,,,,,0.135980,-0.002560,0.000061,1.000000,-0.890092,1.000000
