municipio,Model,# Joinpoints,# Observations,# Parameters,D.F.,SSE,BIC,BIC3,Weight,WBIC
BARANOA,1,0,70,2,68,      58.6850800,      -0.0549241,      -0.0549241,       0.0000000,      -0.0549241
BARANOA,2,1,70,4,66,      42.6062377,      -0.2537234,      -0.1930306,       0.2739852,      -0.2370945
BARANOA,3,2,70,6,64,      28.4976469,      -0.5345170,      -0.4131314,       0.5207177,      -0.4713094
BARANOA,4,3,70,8,62,      23.8286921,      -0.5920625,      -0.4099842,       0.4367651,      -0.5125371
BARANOA,5,4,70,10,60,      20.0986038,      -0.6409170,      -0.3981458,       0.4367651,      -0.5348830
BARANOA,6,5,70,12,58,      18.8765429,      -0.5822617,      -0.2787978,       0.6475035,      -0.3857678
BARANOA,7,6,70,14,56,      17.2182253,      -0.5528278,      -0.1886710,       0.6794401,      -0.3054051
BARANOA,8,7,70,16,54,      14.8302151,      -0.5807440,      -0.1558944,       0.8977987,      -0.1993146
CAMPO DE LA CRUZ,8,7,37,16,21,       6.7417665,      -0.1411179,       0.5420287,       0.8968859,       0.4715866
CAMPO DE LA CRUZ,7,6,37,14,23,       7.7698158,      -0.1943782,       0.3911761,       0.8968859,       0.3307971
CAMPO DE LA CRUZ,6,5,37,12,25,       9.0070970,      -0.2417966,       0.2461653,       0.8284158,       0.1624387
CAMPO DE LA CRUZ,5,4,37,10,27,      10.6146115,      -0.2727627,       0.1176068,       0.8284158,       0.0506256
CAMPO DE LA CRUZ,1,0,37,2,35,      30.3587450,      -0.0026485,      -0.0026485,       0.0000000,      -0.0026485
CAMPO DE LA CRUZ,3,2,37,6,31,      18.6361464,      -0.1002606,       0.0949241,       0.4388057,      -0.0146124
CAMPO DE LA CRUZ,2,1,37,4,33,      28.9729299,       0.1458135,       0.2434059,       0.0456480,       0.1502684
CAMPO DE LA CRUZ,4,3,37,8,29,      12.7515510,      -0.2845260,       0.0082511,       0.6615042,      -0.0908527
CANDELARIA,4,3,22,8,14,       5.3659616,      -0.2869514,       0.1345544,       0.7904297,       0.0462193
CANDELARIA,3,2,22,6,16,       6.1286303,      -0.4350596,      -0.1540557,       0.7904297,      -0.2129458
CANDELARIA,5,4,22,10,12,       4.1547581,      -0.2617689,       0.3002388,       0.8491499,       0.2154598
CANDELARIA,1,0,22,2,20,      12.4291564,      -0.2899936,      -0.2899936,       0.0000000,      -0.2899936
CANDELARIA,2,1,22,4,18,       9.9793191,      -0.2285199,      -0.0880179,       0.1971041,      -0.2008264
GALAPA,1,0,66,2,64,      48.5866903,      -0.1793459,      -0.1793459,       0.0000000,      -0.1793459
GALAPA,2,1,66,4,62,      39.9135867,      -0.2490195,      -0.1855399,       0.1785078,      -0.2376879
GALAPA,3,2,66,6,60,      35.1971324,      -0.2478124,      -0.1208532,       0.4062939,      -0.1962297
GALAPA,4,3,66,8,58,      23.8561005,      -0.5097778,      -0.3193390,       0.5601757,      -0.4030986
GALAPA,5,4,66,10,56,      22.5019251,      -0.4412577,      -0.1873392,       0.4883785,      -0.3172494
GALAPA,6,5,66,12,54,      21.2321902,      -0.3723809,      -0.0549828,       0.4657275,      -0.2245599
GALAPA,7,6,66,14,52,      19.8611271,      -0.3121757,       0.0687020,       0.5351766,      -0.1083388
GALAPA,8,7,66,16,50,      18.5804451,      -0.2518712,       0.1924861,       0.7169055,       0.0666910
JUAN DE ACOSTA,8,7,57,16,41,      13.6101802,      -0.2973416,       0.1991734,       0.7267997,       0.0635254
JUAN DE ACOSTA,7,6,57,14,43,      14.2939419,      -0.3901853,       0.0353990,       0.5186467,      -0.1694574
