municipio,año,fecha,temp_min,latitud,longitud
BARRANQUILLA,2017,2017-01-01,298.1861572265625,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-01,296.9921569824219,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-01,297.6971435546875,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-01,297.2391662597656,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-01,297.2459411621094,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-01,296.8193054199219,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-01,296.8791063096788,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-01,297.52947998046875,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-01,297.32037353515625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-01,297.5491027832031,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-01,296.86859356915505,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-01,297.4283955891927,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-01,297.25714111328125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-01,298.10546875,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-01,297.03670812536166,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-01,297.7439270019531,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-01,296.91064453125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-01,297.5859069824219,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-01,297.4283955891927,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-01,297.5985717773437,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-01,297.7402038574219,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-01,297.3080749511719,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-01,296.90736897786456,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-02,298.32049560546875,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-02,297.0898742675781,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-02,297.89666748046875,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-02,297.4295654296875,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-02,297.3583984375,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-02,297.0942687988281,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-02,297.0862528483073,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-02,297.6343282063802,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-02,297.2422180175781,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-02,297.6412353515625,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-02,297.0892266167535,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-02,297.5234375,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-02,297.401611328125,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-02,298.23834228515625,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-02,297.1352674696181,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-02,297.8392028808594,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-02,297.07733154296875,10.62250793138987,-74.95510483828492
