municipio,año,fecha,temp_min_C,temp_max_C,temp_media_C,latitud,longitud
BARRANQUILLA,2017,2017-01-01,25.036157226562523,29.333947753906273,27.185052490234398,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-01,23.842156982421898,30.672906494140648,27.257531738281273,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-01,24.547143554687523,33.38234863281252,28.964746093750023,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-01,24.089166259765648,33.05996093750002,28.574563598632835,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-01,24.095941162109398,29.755792236328148,26.925866699218773,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-01,23.669305419921898,30.123986816406273,26.896646118164085,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-01,23.729106309678798,30.635810682508748,27.182458496093773,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-01,24.379479980468773,30.442254638671898,27.410867309570335,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-01,24.170373535156273,32.43367919921877,28.302026367187523,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-01,24.399102783203148,31.714227294921898,28.056665039062523,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-01,23.718593569155075,30.46829404477728,27.093443806966178,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-01,24.278395589192712,31.24365641276046,27.761026000976585,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-01,24.107141113281273,32.55678710937502,28.331964111328148,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-01,24.955468750000023,28.999505615234398,26.97748718261721,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-01,23.88670812536168,31.40261682581024,27.64466247558596,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-01,24.593927001953148,31.343835449218773,27.96888122558596,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-01,23.760644531250023,31.138360595703148,27.449502563476585,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-01,24.435906982421898,33.05237223307296,28.744139607747428,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-01,24.278395589192712,31.24365641276046,27.761026000976585,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-01,24.448571777343716,30.227136230468773,27.337854003906244,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-01,24.590203857421898,33.34108886718752,28.96564636230471,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-01,24.158074951171898,29.033135986328148,26.595605468750023,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-01,23.757368977864587,30.64508463541671,27.201226806640648,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-02,25.170495605468773,29.135247802734398,27.152871704101585,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-02,23.939874267578148,30.033929443359398,26.986901855468773,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-02,24.746667480468773,32.92693481445315,28.83680114746096,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-02,24.279565429687523,32.6252380371094,28.45240173339846,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-02,24.208398437500023,29.594445800781273,26.901422119140648,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-02,23.944268798828148,29.395104980468773,26.66968688964846,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-02,23.936252848307333,29.908576795789998,26.922414822048665,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-02,24.484328206380212,30.10919596354171,27.29676208496096,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-02,24.092218017578148,31.611352539062523,27.851785278320335,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-02,24.491235351562523,31.022637939453148,27.756936645507835,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-02,23.9392266167535,29.747865577980406,26.843546097366954,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-02,24.373437500000023,30.57666422526046,27.47505086263024,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-02,24.251611328125023,31.981225585937523,28.116418457031273,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-02,25.088342285156273,28.805200195312523,26.946771240234398,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-02,23.985267469618123,30.636879928023802,27.311073698820962,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-02,24.689202880859398,30.673425292968773,27.681314086914085,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-02,23.927331542968773,30.390710449218773,27.159020996093773,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-02,24.538659667968773,32.4793640136719,28.509011840820335,10.35364191997005,-74.96541178661992
