municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
BARANOA,2017,7,0,6,0,0,0,0,1,3,0,0,0,0,4,7,0,2,5,0,7,2,5,7,0,0,0,0,6,1,0,2,0,5,0,0,0,0,0,1,2,0,0,0,2,1,1
BARANOA,2018,162,77,18,3,0,45,0,19,64,3,0,0,2,93,158,4,33,129,1,161,82,80,162,0,0,0,0,159,2,1,45,1,116,0,1,0,1,1,2,3,7,11,32,24,26,54
BARANOA,2019,395,205,31,6,1,116,1,35,95,4,3,1,4,288,387,8,19,376,0,395,186,209,395,0,0,0,0,375,20,0,50,0,345,55,15,19,2,5,3,6,15,27,42,54,67,85
BARANOA,2020,170,74,17,3,1,58,1,16,40,0,2,0,10,118,167,3,51,119,0,170,98,72,170,0,0,0,0,133,28,9,12,1,157,67,31,8,4,0,1,0,7,12,7,9,11,13
BARANOA,2021,109,60,8,2,1,31,0,7,30,0,3,1,1,74,106,3,24,85,0,109,56,53,109,0,0,0,0,103,4,2,20,0,89,4,1,0,1,0,0,1,2,9,24,18,29,20
BARANOA,2022,96,37,23,6,0,22,0,8,32,0,4,0,2,58,95,1,18,78,0,96,34,62,96,0,0,0,0,71,14,11,18,0,78,6,1,1,0,1,5,4,15,12,11,18,15,7
BARANOA,2023,89,44,19,4,1,15,1,5,26,3,1,0,0,59,88,1,25,64,0,89,46,43,89,0,0,0,0,87,2,0,24,0,65,12,3,2,3,2,3,2,11,6,12,4,15,14
CAMPO DE LA CRUZ,2017,4,0,1,0,0,1,0,2,0,0,0,0,0,4,4,0,3,1,0,4,3,1,0,0,0,0,4,4,0,0,0,0,4,0,0,0,1,0,1,0,1,1,0,0,0,0
CAMPO DE LA CRUZ,2019,30,16,5,0,0,2,1,6,3,0,0,0,1,26,29,1,9,21,0,30,13,17,0,0,0,0,30,30,0,0,8,0,22,0,0,0,0,1,0,7,4,4,2,2,2,8
CAMPO DE LA CRUZ,2020,6,2,1,0,0,1,1,1,1,0,0,0,0,5,6,0,3,3,0,6,2,4,0,0,0,0,6,6,0,0,0,0,6,4,0,1,0,0,0,0,1,0,0,0,0,0
CAMPO DE LA CRUZ,2021,15,2,5,2,0,2,0,4,3,0,0,0,0,12,12,3,8,7,0,15,8,7,0,0,0,0,15,15,0,0,8,0,7,0,0,0,0,0,0,1,1,0,2,1,3,7
CAMPO DE LA CRUZ,2022,79,27,12,2,0,27,1,10,3,0,0,6,2,68,76,3,41,38,0,79,38,41,0,0,0,0,79,72,5,2,52,0,27,2,17,5,5,3,11,13,10,6,3,2,2,0
CAMPO DE LA CRUZ,2023,17,4,4,0,0,5,1,3,1,0,1,1,0,14,17,0,14,3,0,17,9,8,0,0,0,0,17,17,0,0,14,0,3,0,0,1,0,1,1,6,4,1,2,0,0,1
CANDELARIA,2017,3,1,1,1,0,0,0,0,1,0,0,0,0,2,3,0,1,2,0,3,1,2,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0
CANDELARIA,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CANDELARIA,2019,28,10,3,0,0,13,0,2,7,0,0,1,1,19,28,0,9,19,0,28,14,14,0,0,0,0,28,27,1,0,4,0,24,0,0,0,0,1,1,3,3,3,3,8,2,4
CANDELARIA,2020,2,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CANDELARIA,2021,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CANDELARIA,2022,13,7,0,1,0,0,0,5,2,0,0,0,0,11,11,2,9,4,0,13,8,5,0,0,0,0,13,13,0,0,7,0,6,0,0,0,0,1,2,2,3,2,0,2,1,0
CANDELARIA,2023,7,4,2,0,0,1,0,0,3,0,0,0,0,4,6,1,2,5,0,7,3,4,0,0,0,0,7,4,3,0,3,0,4,0,2,0,0,0,0,0,0,4,0,0,0,1
GALAPA,2017,39,8,19,3,1,4,0,4,6,0,0,0,2,31,38,1,37,2,0,39,16,23,0,0,39,0,0,38,1,0,1,0,38,0,2,2,1,2,3,1,0,2,6,11,2,7
GALAPA,2018,136,66,23,3,0,24,1,19,40,0,0,1,3,92,134,2,55,81,0,136,62,74,0,0,136,0,0,136,0,0,41,0,95,1,1,0,2,3,1,4,6,3,24,19,25,47
GALAPA,2019,62,33,8,0,0,13,0,8,16,0,0,0,1,45,61,1,22,40,1,61,27,35,0,0,62,0,0,60,2,0,23,0,39,24,8,1,3,0,1,3,3,2,3,2,2,10
GALAPA,2020,35,19,4,1,0,8,0,3,19,0,1,0,0,15,35,0,17,18,0,35,18,17,0,0,35,0,0,35,0,0,11,0,24,23,4,2,1,0,2,0,0,0,0,0,1,2
GALAPA,2021,166,73,46,3,0,36,0,8,72,0,1,0,6,87,160,6,78,88,0,166,79,87,0,0,166,0,0,159,7,0,31,0,135,7,3,0,0,0,1,0,1,6,29,28,49,42
GALAPA,2022,362,184,95,5,0,60,2,16,145,0,7,0,3,207,342,20,161,201,0,362,170,192,0,0,362,0,0,361,1,0,106,1,255,21,13,5,5,2,11,9,38,39,39,68,59,53
GALAPA,2023,76,31,21,4,0,17,0,3,22,1,1,0,2,50,75,1,37,39,0,76,32,44,0,0,76,0,0,75,1,0,26,0,50,35,13,1,2,2,1,3,9,4,1,2,2,1
JUAN DE ACOSTA,2017,3,0,2,0,0,0,1,0,1,0,0,0,1,1,3,0,1,2,0,3,1,2,0,3,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2
JUAN DE ACOSTA,2018,49,17,6,0,0,14,0,12,11,0,0,0,3,35,49,0,18,31,0,49,24,25,0,49,0,0,0,40,7,2,14,0,35,1,0,0,1,5,3,2,4,7,6,4,5,11
JUAN DE ACOSTA,2019,34,13,7,0,0,10,0,4,8,0,0,0,1,25,34,0,12,22,0,34,19,15,0,34,0,0,0,28,4,2,15,1,18,7,0,4,1,1,0,3,4,3,1,2,6,2
JUAN DE ACOSTA,2020,9,0,4,0,0,3,0,2,5,0,0,0,1,3,9,0,2,7,0,9,6,3,0,9,0,0,0,7,1,1,0,0,9,2,0,3,0,0,0,0,0,0,1,0,1,2
JUAN DE ACOSTA,2021,27,12,5,0,0,5,1,4,6,0,0,0,3,18,27,0,10,17,0,27,16,11,0,27,0,0,0,22,4,1,7,0,20,3,1,0,0,0,3,0,1,4,1,2,9,3
JUAN DE ACOSTA,2022,99,55,14,2,0,19,0,9,21,0,2,1,6,69,94,5,22,77,0,99,46,53,0,99,0,0,0,93,6,0,21,0,78,8,3,1,0,1,2,15,5,3,7,19,14,21
JUAN DE ACOSTA,2023,31,16,8,1,0,6,0,0,9,0,0,0,0,22,30,1,8,23,0,31,15,16,0,31,0,0,0,26,5,0,6,0,25,8,8,5,0,1,2,2,3,1,0,0,0,1
