"municipio","año","casos","poblacion","esperado","REM"
"BARANOA","2017",0,60676,0.488133738797445,0
"BARANOA","2018",4,62371,1.06923491715187,3.74099268162214
"BARANOA","2019",8,64550,1.55253640072516,5.15285824941906
"BARANOA","2020",3,66927,1.0646385138384,2.81785785598148
"BARANOA","2021",3,68800,3.492247908994,0.859045542635659
"BARANOA","2022",1,70464,9.88745566637474,0.101138253737086
"CAMPO DE LA CRUZ","2017",0,22604,0.181847436083088,0
"CAMPO DE LA CRUZ","2018",0,22876,0.392166519131747,0
"CAMPO DE LA CRUZ","2019",1,23641,0.568605934152494,1.75868723827249
"CAMPO DE LA CRUZ","2020",0,24454,0.389001004339121,0
"CAMPO DE LA CRUZ","2021",3,25124,1.27527959979019,2.35242530382635
"CAMPO DE LA CRUZ","2022",3,25669,3.60185484077221,0.832904193150888
"CANDELARIA","2017",0,15543,0.125042235844958,0
"CANDELARIA","2018",0,15977,0.273895981647487,0
"CANDELARIA","2019",0,16579,0.398752920025134,0
"CANDELARIA","2020",0,17240,0.274244594536945,0
"CANDELARIA","2021",0,17758,0.901385732091796,0
"CANDELARIA","2022",2,18197,2.55338940112712,0.7832726176106
"GALAPA","2017",1,58493,0.470571672217663,2.12507479527465
"GALAPA","2018",2,60724,1.04100016208062,1.92122928780593
"GALAPA","2019",1,62945,1.51393344296894,0.660531019143697
"GALAPA","2020",0,65478,1.04158860563167,0
"GALAPA","2021",6,66754,3.38839414123526,1.77075031708462
"GALAPA","2022",20,67560,9.47996856295807,2.10971163745709
"JUAN DE ACOSTA","2017",0,20366,0.163842898746601,0
"JUAN DE ACOSTA","2018",0,21005,0.360091700225666,0
"JUAN DE ACOSTA","2019",0,21596,0.519420234083044,0
"JUAN DE ACOSTA","2020",0,22270,0.354259113708687,0
"JUAN DE ACOSTA","2021",0,22748,1.15467522432842,0
"JUAN DE ACOSTA","2022",5,23149,3.24825032954287,1.53929023096679
"LURUACO","2017",0,27455,0.220873356824508,0
"LURUACO","2018",0,28173,0.482973742940142,0
"LURUACO","2019",2,29047,0.698629354482784,2.86274830447206
"LURUACO","2020",0,30001,0.477239679855155,0
"LURUACO","2021",2,30713,1.55897398297868,1.28289504625258
"LURUACO","2022",2,31315,4.39409732902652,0.455156053733358
"MALAMBO","2017",0,124251,0.999589708934691,0
"MALAMBO","2018",3,128199,2.19773367661177,1.36504255812519
"MALAMBO","2019",5,133000,3.19887438104487,1.56304981203008
"MALAMBO","2020",5,138416,2.20184685599917,2.27082096394531
"MALAMBO","2021",13,141679,7.19154348108084,1.80767870405008
"MALAMBO","2022",14,144155,20.2277215540737,0.692119473890054
"MANATÍ","2017",0,19426,0.156280671268363,0
"MANATÍ","2018",0,19803,0.339485643397708,0
"MANATÍ","2019",1,20521,0.493564670476855,2.02607694556795
"MANATÍ","2020",0,21325,0.33922656487821,0
"MANATÍ","2021",0,21908,1.11203731381164,0
"MANATÍ","2022",6,22405,3.14385280717992,1.90848629627227
"PALMAR DE VARELA","2017",0,28113,0.226166916059275,0
"PALMAR DE VARELA","2018",0,28928,0.495916815240565,0
"PALMAR DE VARELA","2019",1,30007,0.721718974075288,1.38558086446496
"PALMAR DE VARELA","2020",0,31160,0.495676424928724,0
"PALMAR DE VARELA","2021",0,32090,1.62886970057584,0
"PALMAR DE VARELA","2022",1,32941,4.62225643031974,0.21634455272548
"PIOJÓ","2017",0,6415,0.0516081800775531,0
"PIOJÓ","2018",0,6609,0.113299026269528,0
"PIOJÓ","2019",0,6830,0.164273022725838,0
"PIOJÓ","2020",0,7079,0.112608902826394,0
"PIOJÓ","2021",0,7272,0.369122482473901,0
"PIOJÓ","2022",1,7420,1.04116883861973,0.960459017699468
"POLONUEVO","2017",0,17698,0.142379044584962,0
"POLONUEVO","2018",2,18187,0.311782325732168,6.41473180143659
"POLONUEVO","2019",2,18749,0.450945080979024,4.43512987359326
"POLONUEVO","2020",0,19368,0.308095667458906,0
"POLONUEVO","2021",0,19836,1.00686380120356,0
"POLONUEVO","2022",0,20229,2.8385181181184,0
"PONEDERA","2017",0,23193,0.186585895641261,0
"PONEDERA","2018",0,23842,0.40872679441944,0
"PONEDERA","2019",0,24518,0.589699263717729,0
"PONEDERA","2020",0,25284,0.402204195375412,0
"PONEDERA","2021",1,25818,1.31050663538383,0.763063667897505
"PONEDERA","2022",2,26243,3.68239809055223,0.543124331161075
"PUERTO COLOMBIA","2017",1,47674,0.383533651912278,2.60733313755926
"PUERTO COLOMBIA","2018",0,49250,0.844299749398432,0
"PUERTO COLOMBIA","2019",0,52086,1.25275617301581,0
"PUERTO COLOMBIA","2020",1,55121,0.876835051941469,1.14046535638125
"PUERTO COLOMBIA","2021",3,57267,2.90683954948197,1.03204870751625
"PUERTO COLOMBIA","2022",49,59069,8.28851780706587,5.91179281273041
"REPELÓN","2017",0,25524,0.205338610802722,0
"REPELÓN","2018",0,26207,0.449270325532684,0
"REPELÓN","2019",1,26977,0.648842362236446,1.54120639804278
"REPELÓN","2020",0,27800,0.442227362420363,0
"REPELÓN","2021",1,28418,1.44248112031674,0.693249974585748
"REPELÓN","2022",3,28912,4.05691017010426,0.739479030644374
"SABANAGRANDE","2017",0,31373,0.252393364547634,0
"SABANAGRANDE","2018",0,32341,0.554426359295323,0
"SABANAGRANDE","2019",0,33538,0.806645481138968,0
"SABANAGRANDE","2020",0,34851,0.554390856392521,0
"SABANAGRANDE","2021",1,35912,1.82287219342722,0.548584812257122
"SABANAGRANDE","2022",0,36855,5.17146597672912,0
"SABANALARGA","2017",0,90769,0.730229602098116,0
"SABANALARGA","2018",1,93248,1.59856371638386,0.625561552380358
"SABANALARGA","2019",3,95541,2.29792223488276,1.30552720821427
"SABANALARGA","2020",5,98114,1.56074444016229,3.20359943071788
"SABANALARGA","2021",6,99882,5.0699521169497,1.18344312955955
"SABANALARGA","2022",14,101256,14.2081660273961,0.985348846079449
"SOLEDAD","2017",7,583036,4.69047963830027,1.49238468979617
"SOLEDAD","2018",10,603998,10.3544235540539,0.965770807790152
"SOLEDAD","2019",5,627273,15.086973906926,0.331411721849976
"SOLEDAD","2020",7,653377,10.3935678912277,0.673493459922275
"SOLEDAD","2021",33,670454,34.031854354312,0.969679749343977
"SOLEDAD","2022",74,683762,95.9449713520624,0.771275440048472
