"municipio","periodo","casos_obs","casos_esp","REM"
"BARANOA","2017-2020",719,252.875493558795,2.84329647717654
"BARANOA","2021-2023",467,600.175039664356,0.778106334214043
"CAMPO DE LA CRUZ","2017-2020",39,92.750907100912,0.42048106287056
"CAMPO DE LA CRUZ","2021-2023",106,218.625318949472,0.484847777509697
"CANDELARIA","2017-2020",34,64.9266843034502,0.523667585442882
"CANDELARIA","2021-2023",54,155.10035437911,0.348161680327359
"DESCONOCIDO","2017-2020",24,0,Inf
"DESCONOCIDO","2021-2023",2,0,Inf
"GALAPA","2017-2020",268,246.401531795327,1.08765557603194
"GALAPA","2021-2023",841,574.210174405427,1.46462051263864
"JUAN DE ACOSTA","2017-2020",95,84.685779083904,1.12179401344206
"JUAN DE ACOSTA","2021-2023",230,196.992649074267,1.16755625695094
"LURUACO","2017-2020",96,113.875632486244,0.843024955418773
"LURUACO","2021-2023",185,266.333290813746,0.694618383735494
"MALAMBO","2017-2020",551,520.818866626322,1.05794938568409
"MALAMBO","2021-2023",1494,1226.63089435653,1.21797030131361
"MANATÍ","2017-2020",62,80.457131220024,0.770596702366261
"MANATÍ","2021-2023",194,190.775762373166,1.01690066697533
"PALMAR DE VARELA","2017-2020",54,117.480193498877,0.459651949760504
"PALMAR DE VARELA","2021-2023",129,280.732844615877,0.459511604979848
"PIOJÓ","2017-2020",13,26.7638466309678,0.485729879536749
"PIOJÓ","2021-2023",65,63.1897783016305,1.02864738169722
"POLONUEVO","2017-2020",329,73.4997502229227,4.47620568780373
"POLONUEVO","2021-2023",114,172.24867290131,0.661833836393715
"PONEDERA","2017-2020",92,96.166484027409,0.956674260585201
"PONEDERA","2021-2023",162,223.256092129021,0.725624095876315
"PUERTO COLOMBIA","2017-2020",116,203.249793559705,0.570726286941712
"PUERTO COLOMBIA","2021-2023",768,503.816322077039,1.52436506390629
"REPELÓN","2017-2020",91,105.764294876243,0.860403788504252
"REPELÓN","2021-2023",18,245.958616365684,0.0731830430093091
"SABANAGRANDE","2017-2020",58,131.318010577429,0.441675896131562
"SABANAGRANDE","2021-2023",75,314.033256853421,0.238828208042332
"SABANALARGA","2017-2020",543,374.933230358223,1.44825786575706
"SABANALARGA","2021-2023",602,860.884148938006,0.699281082991983
"SANTA LUCÍA","2017-2020",20,65.0755347281241,0.307335161878531
"SANTA LUCÍA","2021-2023",35,155.460268961822,0.225137909729176
"SANTO TOMÁS","2017-2020",38,121.296962985445,0.313280720841789
"SANTO TOMÁS","2021-2023",109,291.321668814427,0.374156857070023
"SOLEDAD","2017-2020",2041,2454.94249940395,0.831384034654804
"SOLEDAD","2021-2023",6582,5821.16115442177,1.1307022474374
"SUAN","2017-2020",36,48.4396290545921,0.743193139638363
"SUAN","2021-2023",111,115.038499626769,0.964894364583406
"TUBARÁ","2017-2020",39,70.3161152372891,0.554638148998852
"TUBARÁ","2021-2023",59,164.819366478265,0.357967642156787
"USIACURÍ","2017-2020",38,49.9616286638512,0.760583692250493
"USIACURÍ","2021-2023",360,121.23582549889,2.96941929927549
