"municipio","periodo","casos_obs","casos_esp","REM"
"BARANOA","2017-2019",12,3.10990505667448,3.85863869838908
"BARANOA","2020-2023",7,14.4443420892071,0.484618818688213
"CAMPO DE LA CRUZ","2017-2019",1,1.14261988936733,0.875181684920348
"CAMPO DE LA CRUZ","2020-2023",6,5.26613544490152,1.13935542729137
"CANDELARIA","2017-2019",0,0.797691137517579,0
"CANDELARIA","2020-2023",2,3.72901972775586,0.536333982122323
"GALAPA","2017-2019",4,3.02550527726722,1.32209321532335
"GALAPA","2020-2023",26,13.909951309825,1.86916542127904
"JUAN DE ACOSTA","2017-2019",0,1.04335483305531,0
"JUAN DE ACOSTA","2020-2023",5,4.75718466757998,1.05104181346476
"LURUACO","2017-2019",2,1.40247645424743,1.42604889653794
"LURUACO","2020-2023",4,6.43031099186036,0.622053895225798
"MALAMBO","2017-2019",8,6.39619776659133,1.25074306516688
"MALAMBO","2020-2023",32,29.6211118911537,1.08031056084551
"MANATÍ","2017-2019",1,0.989330985142926,1.01078407026293
"MANATÍ","2020-2023",6,4.59511668586977,1.30573398026003
"PALMAR DE VARELA","2017-2019",1,1.44380270537513,0.6926154081005
"PALMAR DE VARELA","2020-2023",1,6.7468025558243,0.148218358507725
"PIOJÓ","2017-2019",0,0.329180229072919,0
"PIOJÓ","2020-2023",1,1.52290022392002,0.656641836604336
"POLONUEVO","2017-2019",4,0.905106451296154,4.41936967112743
"POLONUEVO","2020-2023",0,4.15347758678087,0
"PONEDERA","2017-2019",0,1.18501195377843,0
"PONEDERA","2020-2023",3,5.39510892131147,0.556059209138403
"PUERTO COLOMBIA","2017-2019",1,2.48058957432652,0.403129969725645
"PUERTO COLOMBIA","2020-2023",53,12.0721924084893,4.39025474467502
"REPELÓN","2017-2019",1,1.30345129857185,0.767193988065121
"REPELÓN","2020-2023",4,5.94161865284136,0.673217221385816
"SABANAGRANDE","2017-2019",0,1.61346520498192,0
"SABANAGRANDE","2020-2023",1,7.54872902654886,0.132472631681837
"SABANALARGA","2017-2019",4,4.62671555336474,0.864544179097208
"SABANALARGA","2020-2023",25,20.8388625845081,1.19968159963708
"SOLEDAD","2017-2019",22,30.1318770992802,0.730123779793512
"SOLEDAD","2020-2023",114,140.370393597602,0.812137068781058
"SUAN","2017-2019",0,0.595769440510498,0
"SUAN","2020-2023",4,2.76839404973739,1.44488101337288
"TUBARÁ","2017-2019",2,0.864954885574961,2.3122593251445
"TUBARÁ","2020-2023",3,3.98073809928877,0.753629082138311
"USIACURÍ","2017-2019",1,0.612994204003143,1.63133679481719
"USIACURÍ","2020-2023",0,2.90760948499409,0
