CODIGO,NOMBRE,FECHA,LATITUD,LONGITUD,ALTITUD,HUM RELATIVA_MAX,HUM RELATIVA_MIN,PRECIPITACION_Convencional,TEMPERATURA_MAX,TEMPERATURA_MIN
29035080,NORMAL MANATI,2016-12-31,10.45358333,-74.95463889,10,,,,34.0,24.2
29045190,AEROPUERTO E. CORTISSOZ,2016-12-31,10.91777778,-74.77972222,14,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-01,10.99761111,-74.79672222,12,,,0.0,,
29045110,JUAN DE ACOSTA,2017-01-01,10.83333333,-75.03333333,20,,,,32.2,23.0
29045190,AEROPUERTO E. CORTISSOZ,2017-01-01,10.91777778,-74.77972222,14,,,0.0,,
29035080,NORMAL MANATI,2017-01-01,10.45358333,-74.95463889,10,97.0,74.0,,36.2,25.0
29045110,JUAN DE ACOSTA,2017-01-02,10.83333333,-75.03333333,20,,,,31.2,22.4
29035080,NORMAL MANATI,2017-01-02,10.45358333,-74.95463889,10,95.0,92.0,,35.0,24.0
29045190,AEROPUERTO E. CORTISSOZ,2017-01-02,10.91777778,-74.77972222,14,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-02,10.99761111,-74.79672222,12,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-03,10.99761111,-74.79672222,12,,,0.0,,
29045110,JUAN DE ACOSTA,2017-01-03,10.83333333,-75.03333333,20,,,,33.6,21.2
29045190,AEROPUERTO E. CORTISSOZ,2017-01-03,10.91777778,-74.77972222,14,,,0.0,,
29035080,NORMAL MANATI,2017-01-03,10.45358333,-74.95463889,10,,,,36.2,24.4
29045110,JUAN DE ACOSTA,2017-01-04,10.83333333,-75.03333333,20,,,,32.4,20.6
29035080,NORMAL MANATI,2017-01-04,10.45358333,-74.95463889,10,97.0,76.0,,35.4,25.2
29045190,AEROPUERTO E. CORTISSOZ,2017-01-04,10.91777778,-74.77972222,14,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-04,10.99761111,-74.79672222,12,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-05,10.99761111,-74.79672222,12,,,0.0,,
29045190,AEROPUERTO E. CORTISSOZ,2017-01-05,10.91777778,-74.77972222,14,,,0.0,,
29045110,JUAN DE ACOSTA,2017-01-05,10.83333333,-75.03333333,20,,,,32.6,21.2
29035080,NORMAL MANATI,2017-01-05,10.45358333,-74.95463889,10,97.0,65.0,,36.2,25.0
29045190,AEROPUERTO E. CORTISSOZ,2017-01-06,10.91777778,-74.77972222,14,,,0.0,,
29040450,BARRANQUILLA SEDE,2017-01-06,10.99761111,-74.79672222,12,,,0.0,,
29035080,NORMAL MANATI,2017-01-06,10.45358333,-74.95463889,10,95.0,77.0,,35.0,24.2
29045110,JUAN DE ACOSTA,2017-01-06,10.83333333,-75.03333333,20,,,,32.0,21.6
29045110,JUAN DE ACOSTA,2017-01-07,10.83333333,-75.03333333,20,,,,33.2,22.7
29045190,AEROPUERTO E. CORTISSOZ,2017-01-07,10.91777778,-74.77972222,14,,,0.0,,
29040020,MONTEBELLO,2017-01-07,10.7085,-74.90783333,100,,,11.5,,
29035080,NORMAL MANATI,2017-01-07,10.45358333,-74.95463889,10,98.0,60.0,,36.4,25.0
29040450,BARRANQUILLA SEDE,2017-01-07,10.99761111,-74.79672222,12,,,0.0,,
29035080,NORMAL MANATI,2017-01-08,10.45358333,-74.95463889,10,,,,34.0,24.6
29045190,AEROPUERTO E. CORTISSOZ,2017-01-08,10.91777778,-74.77972222,14,,,0.0,,
29045110,JUAN DE ACOSTA,2017-01-08,10.83333333,-75.03333333,20,,,,30.0,22.6
29040450,BARRANQUILLA SEDE,2017-01-08,10.99761111,-74.79672222,12,,,0.0,,
29045190,AEROPUERTO E. CORTISSOZ,2017-01-09,10.91777778,-74.77972222,14,,,0.0,,
29035080,NORMAL MANATI,2017-01-09,10.45358333,-74.95463889,10,98.0,76.0,,36.0,24.0
29045110,JUAN DE ACOSTA,2017-01-09,10.83333333,-75.03333333,20,,,,31.6,22.6
29040450,BARRANQUILLA SEDE,2017-01-09,10.99761111,-74.79672222,12,,,0.0,,
29045190,AEROPUERTO E. CORTISSOZ,2017-01-10,10.91777778,-74.77972222,14,,,0.0,,
29045110,JUAN DE ACOSTA,2017-01-10,10.83333333,-75.03333333,20,,,,32.6,23.6
29035080,NORMAL MANATI,2017-01-10,10.45358333,-74.95463889,10,98.0,60.0,,35.4,25.2
29040450,BARRANQUILLA SEDE,2017-01-10,10.99761111,-74.79672222,12,,,0.0,,
