DEPARTAMENTO,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,TOTAL
AMAZONAS,69953,71215,72485,73790,75104,76573,78065,79583,80865,81996,83087,842716
ANTIOQUIA,6001151,6066806,6134953,6211312,6296843,6407149,6518070,6642072,6721140,6777249,6826125,70602870
ARAUCA,234529,236931,239772,244206,250502,262177,266031,270495,273137,274806,276240,2828826
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",61543,61463,61406,61358,61309,61284,61679,62127,62573,62801,63007,680550
ATLÁNTICO,2341335,2366899,2393557,2427046,2468429,2535506,2608908,2693388,2741296,2774009,2805401,28155774
"BOGOTÁ, D.C.",7228427,7252949,7273265,7300918,7337449,7391056,7533202,7717564,7804920,7849206,7883928,82572884
BOLÍVAR,1961250,1977478,1993760,2013010,2035711,2070083,2108412,2151461,2177352,2195275,2210979,22894771
BOYACÁ,1181580,1187249,1193206,1199978,1207665,1218755,1233430,1248977,1260227,1268367,1275286,13474720
CALDAS,982563,982933,984360,987214,991363,998249,1011586,1025648,1035206,1041232,1044570,11084924
CAQUETÁ,395947,397383,398725,399983,401099,402085,406111,410567,414947,418724,422271,4467842
CASANARE,382735,389511,396320,403554,411255,420511,430549,441510,449378,455615,461462,4642400
CAUCA,1393465,1406735,1420313,1434395,1448837,1464502,1487377,1510904,1531934,1549859,1565745,16214066
CESAR,1078033,1095719,1114269,1136299,1162415,1200589,1251175,1307763,1347446,1379279,1410147,13483134
CHOCÓ,490338,499946,509240,518234,526888,534807,545320,555787,564382,572258,579442,5896642
CUNDINAMARCA,2357339,2446138,2543338,2652076,2773285,2939840,3052321,3157942,3242668,3316583,3388483,31870013
CÓRDOBA,1691609,1709003,1726287,1744254,1763053,1784754,1821239,1859810,1890862,1917742,1943751,19852364
GUAINÍA,40638,41946,43291,44722,46250,48081,49948,51772,53485,55129,56697,531959
GUAVIARE,75092,76101,77328,78796,80507,82768,83138,83574,83885,84107,84318,889614
HUILA,1037252,1049215,1061405,1073916,1086654,1100364,1117786,1135396,1151482,1166143,1179882,12159495
LA GUAJIRA,770616,786618,803092,822700,846012,880552,918062,959829,986573,1007580,1027914,9809548
MAGDALENA,1237543,1253211,1268980,1287462,1309259,1341797,1384062,1432692,1463123,1485394,1506027,14969550
META,952101,969808,987232,1004633,1021943,1039701,1062355,1087196,1104559,1118349,1131202,11479079
NARIÑO,1594354,1601466,1608726,1615767,1621984,1630598,1645708,1661044,1673585,1684282,1694158,18031672
NORTE DE SANTANDER,1392708,1401015,1409900,1424761,1446748,1491720,1545342,1607917,1640270,1659814,1678058,16698253
PUTUMAYO,315941,321850,327856,334152,340750,348167,355117,362162,368423,374360,379921,3828699
QUINDÍO,522157,523970,526484,529891,533966,539918,544109,548659,552571,554581,555120,5931426
RISARALDA,915413,918965,923443,929046,935164,943393,956212,969801,979983,986996,991338,10449754
SANTANDER,2057952,2077348,2097069,2119954,2146496,2184132,2232284,2287806,2319558,2341058,2360567,24224224
SUCRE,851157,859324,867701,877397,888638,904850,928362,953654,972704,988782,1004176,10096745
TOLIMA,1317507,1319060,1320911,1323323,1326203,1330184,1341138,1352773,1361747,1368345,1373558,14734749
VALLE DEL CAUCA,4371304,4383018,4397194,4414569,4432549,4475873,4533931,4598318,4636501,4658811,4673395,49575463
VAUPÉS,35353,36509,37638,38737,39811,40774,41448,42135,42641,43009,43383,441438
VICHADA,96057,98228,100392,102663,105059,107702,114049,120464,126214,131824,137429,1240081
