"departamento","periodo","casos_obs","casos_esp","REM"
"AMAZONAS","2013-2016",1034,658.360385745688,1.57056837316973
"AMAZONAS","2017-2020",2025,425.327864448488,4.76103300362361
"AMAZONAS","2021-2023",1789,383.737014830711,4.66204700317804
"ANTIOQUIA","2013-2016",46924,55956.4290511308,0.838581031629497
"ANTIOQUIA","2017-2020",14867,35534.8340619226,0.418378202472901
"ANTIOQUIA","2021-2023",8484,31653.0727874796,0.268030849862888
"ARAUCA","2013-2016",2753,2189.59501142331,1.25731013527038
"ARAUCA","2017-2020",3133,1446.60706516605,2.16575743022544
"ARAUCA","2021-2023",2877,1282.7348017784,2.24286422728321
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2013-2016",387,564.018872664743,0.68614725278889
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2017-2020",136,336.659580442128,0.403968898854427
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2021-2023",421,292.994283386646,1.43688810284545
"ATLÁNTICO","2013-2016",19751,21839.1353712215,0.904385620779973
"ATLÁNTICO","2017-2020",10920,14222.2880433801,0.767808946541681
"ATLÁNTICO","2021-2023",23188,12974.1910188399,1.78724052746939
"BOGOTÁ, D.C.","2013-2016",302,66650.0334657188,0.00453113050806392
"BOGOTÁ, D.C.","2017-2020",0,41150.2900123625,0
"BOGOTÁ, D.C.","2021-2023",0,36626.5320652717,0
"BOLÍVAR","2013-2016",11550,18216.074753927,0.634055369009179
"BOLÍVAR","2017-2020",9502,11496.1544268157,0.82653726169821
"BOLÍVAR","2021-2023",23643,10252.9424721026,2.30597216987519
"BOYACÁ","2013-2016",4221,10921.42859012,0.386487899927166
"BOYACÁ","2017-2020",1620,6726.54266888162,0.240836946964516
"BOYACÁ","2021-2023",810,5920.76918009292,0.136806549176654
"CALDAS","2013-2016",3580,9033.03041937926,0.396323252971622
"CALDAS","2017-2020",1072,5518.00034217516,0.194273275375954
"CALDAS","2021-2023",432,4855.4511766484,0.0889721643330783
"CAQUETÁ","2013-2016",3545,3651.8595459131,0.970738319869752
"CAQUETÁ","2017-2020",3428,2216.29201036628,1.54672759003154
"CAQUETÁ","2021-2023",3284,1956.62539294922,1.67839996957723
"CASANARE","2013-2016",8533,3600.87913750542,2.3696990857381
"CASANARE","2017-2020",8293,2346.5197190087,3.53417017245584
"CASANARE","2021-2023",6364,2131.77843552053,2.98530086145939
"CAUCA","2013-2016",2389,12963.0550809807,0.184292976082862
"CAUCA","2017-2020",1932,8110.06941292259,0.238222375374686
"CAUCA","2021-2023",2972,7245.10609739978,0.410207933472034
"CESAR","2013-2016",13389,10134.2669761116,1.32116116849501
"CESAR","2017-2020",12027,6819.86514944299,1.76352460590549
"CESAR","2021-2023",10032,6472.95032845614,1.54983423183362
"CHOCÓ","2013-2016",1069,4621.05376564219,0.231332517260041
"CHOCÓ","2017-2020",1050,2972.00959878835,0.353296301744137
"CHOCÓ","2021-2023",3029,2677.11121854466,1.1314434675025
"CUNDINAMARCA","2013-2016",15927,22852.2356930983,0.696955878361179
"CUNDINAMARCA","2017-2020",9554,16565.2493963581,0.576749541851176
"CUNDINAMARCA","2021-2023",5795,15561.6094816824,0.372390786879807
"CÓRDOBA","2013-2016",8779,15750.1611917863,0.557391120833622
"CÓRDOBA","2017-2020",10931,9931.81873487001,1.10060405770616
"CÓRDOBA","2021-2023",10666,8975.7141885311,1.18831769550201
"GUAINÍA","2013-2016",505,390.171179361648,1.29430369722905
"GUAINÍA","2017-2020",219,271.651839240475,0.80617897015648
"GUAINÍA","2021-2023",263,259.1721490642,1.01476953040526
"GUAVIARE","2013-2016",1540,704.057090106664,2.18732262147476
"GUAVIARE","2017-2020",1670,452.555781235893,3.69015283693729
"GUAVIARE","2021-2023",1437,392.319191079351,3.66283381663415
"HUILA","2013-2016",20488,9675.87311710756,2.11743165211374
"HUILA","2017-2020",19554,6093.37765624374,3.20905762011378
"HUILA","2021-2023",6746,5454.55265233666,1.23676503463764
"LA GUAJIRA","2013-2016",4552,7287.82019228769,0.624603774502716
"LA GUAJIRA","2017-2020",3044,5000.50878093845,0.608738057136004
"LA GUAJIRA","2021-2023",7090,4725.36394566444,1.50041353037053
"MAGDALENA","2013-2016",6409,11566.0343057361,0.554122513437599
"MAGDALENA","2017-2020",6882,7547.74801178557,0.911795145950021
"MAGDALENA","2021-2023",6764,6951.95479311869,0.972963749231405
"META","2013-2016",25208,8963.91613228153,2.81216374941517
"META","2017-2020",25338,5792.26873759829,4.3744517300325
"META","2021-2023",19363,5230.47705401861,3.70195678138446
"NARIÑO","2013-2016",2088,14725.5051878337,0.141794795721176
"NARIÑO","2017-2020",1288,8976.37704777138,0.143487733764457
"NARIÑO","2021-2023",3507,7864.04790321853,0.445953539851237
"NO IDENTIFICADO","2013-2016",480,0,Inf
"NO IDENTIFICADO","2017-2020",1292,0,Inf
"NO IDENTIFICADO","2021-2023",659,0,Inf
"NORTE DE SANTANDER","2013-2016",23291,12905.9399228053,1.80467289785255
"NORTE DE SANTANDER","2017-2020",13589,8426.04035279759,1.61273853803563
"NORTE DE SANTANDER","2021-2023",9654,7761.76135689059,1.24378985079586
"PUTUMAYO","2013-2016",6144,2976.81492769353,2.06395095067614
"PUTUMAYO","2017-2020",4037,1934.40361976099,2.08694812125031
"PUTUMAYO","2021-2023",3160,1752.64574493303,1.8029884299983
"QUINDÍO","2013-2016",11482,4822.2357061937,2.38105324989661
"QUINDÍO","2017-2020",2035,2966.52298094855,0.685988280916436
"QUINDÍO","2021-2023",679,2584.26328664647,0.262744126540264
"RISARALDA","2013-2016",5403,8455.96934648612,0.638956904715509
"RISARALDA","2017-2020",1337,5215.18500167056,0.256366744338259
"RISARALDA","2021-2023",470,4604.14049448031,0.102082028244677
"SANTANDER","2013-2016",45249,19146.3736794269,2.36331959031077
"SANTANDER","2017-2020",17539,12175.1441075045,1.44055789772454
"SANTANDER","2021-2023",14074,10938.2118750632,1.28668196966322
"SUCRE","2013-2016",11901,7921.18549410252,1.50242662652712
"SUCRE","2017-2020",8931,5061.44698193144,1.76451517360198
"SUCRE","2021-2023",9419,4630.52178662039,2.03411201459318
