"municipio","periodo","casos_obs","casos_esp","REM"
"BARANOA","2017-2020",15,4.12724809219773,3.63438292656951
"BARANOA","2021-2023",5,15.7452825646409,0.31755543156961
"CAMPO DE LA CRUZ","2017-2020",1,1.51453736234392,0.660267633445756
"CAMPO DE LA CRUZ","2021-2023",6,5.73740774659012,1.04576844892468
"CANDELARIA","2017-2020",0,1.05976187033324,0
"CANDELARIA","2021-2023",3,4.06697454935335,0.737649071464439
"DESCONOCIDO","2017-2020",1,0,Inf
"DESCONOCIDO","2021-2023",0,0,NA
"GALAPA","2017-2020",4,4.02052749177986,0.994894328711387
"GALAPA","2021-2023",30,15.1062714975898,1.98593014859997
"JUAN DE ACOSTA","2017-2020",0,1.38182065482191,0
"JUAN DE ACOSTA","2021-2023",6,5.17499498610748,1.15942141318152
"LURUACO","2017-2020",2,1.85852509440397,1.07612213901336
"LURUACO","2021-2023",4,6.99731553535181,0.571647795471165
"MALAMBO","2017-2020",13,8.50006740636536,1.5293996363211
"MALAMBO","2021-2023",29,32.2257131701265,0.899902504776317
"MANATÍ","2017-2020",1,1.31359657047681,0.761268735375137
"MANATÍ","2021-2023",7,5.0067492963871,1.3981127445409
"PALMAR DE VARELA","2017-2020",1,1.91744536232988,0.521527246432152
"PALMAR DE VARELA","2021-2023",3,7.36025222889146,0.407594727287197
"PIOJÓ","2017-2020",0,0.436778937853551,0
"PIOJÓ","2021-2023",2,1.65868000893204,1.20577808210743
"POLONUEVO","2017-2020",4,1.19950780335356,3.33470110725155
"POLONUEVO","2021-2023",0,4.52207693732897,0
"PONEDERA","2017-2020",0,1.56933069878255,0
"PONEDERA","2021-2023",6,5.86683559533846,1.02269782449117
"PUERTO COLOMBIA","2017-2020",2,3.31850157592033,0.602681648401911
"PUERTO COLOMBIA","2021-2023",55,13.1945941011123,4.16837377326851
"REPELÓN","2017-2020",1,1.72601974943104,0.579367646476603
"REPELÓN","2021-2023",4,6.46274927164576,0.618931639132178
"SABANAGRANDE","2017-2020",0,2.14318821016033,0
"SABANAGRANDE","2021-2023",2,8.23447965466882,0.242881163579781
"SABANALARGA","2017-2020",9,6.1180166002995,1.4710649852698
"SABANALARGA","2021-2023",23,22.6387890177796,1.01595540211699
"SANTO TOMÁS","2017-2020",0,1.97981533269454,0
"SANTO TOMÁS","2021-2023",1,7.63609074377965,0.130957060825213
"SOLEDAD","2017-2020",29,40.0616020980626,0.723885178855652
"SOLEDAD","2021-2023",138,152.839983039559,0.902905098885557
"SUAN","2017-2020",0,0.790808617254937,0
"SUAN","2021-2023",4,3.01776135135886,1.32548585997327
"TUBARÁ","2017-2020",3,1.14742864234674,2.61454167107452
"TUBARÁ","2021-2023",2,4.33074538689325,0.461814265519484
"USIACURÍ","2017-2020",1,0.815471828787661,1.226283931214
"USIACURÍ","2021-2023",1,3.17625331656463,0.314836349728422
