municipio,año,humedad
BARRANQUILLA,2017,86.88523864746094
BARANOA,2017,91.04126739501953
CAMPO DE LA CRUZ,2017,88.73883819580078
CANDELARIA,2017,90.12515258789062
GALAPA,2017,89.38328552246094
JUAN DE ACOSTA,2017,89.68972778320312
LURUACO,2017,44.42633056640625
MALAMBO,2017,89.14166768391927
MANATÍ,2017,88.30472564697266
PALMAR DE VARELA,2017,89.96725463867188
PIOJÓ,2017,29.720258076985676
POLONUEVO,2017,90.10630289713542
PONEDERA,2017,91.33843231201172
PUERTO COLOMBIA,2017,87.18866729736328
REPELÓN,2017,44.25275802612305
SABANAGRANDE,2017,89.31038665771484
SABANALARGA,2017,90.61599731445312
SANTA LUCÍA,2017,88.88163503011067
SANTO TOMÁS,2017,90.10630289713542
SOLEDAD,2017,88.73133087158203
SUAN,2017,89.6013412475586
TUBARÁ,2017,89.37731170654297
USIACURÍ,2017,90.4489974975586
BARRANQUILLA,2018,86.80494689941406
BARANOA,2018,90.86920166015625
CAMPO DE LA CRUZ,2018,88.72265625
CANDELARIA,2018,90.10948181152344
GALAPA,2018,89.31324768066406
JUAN DE ACOSTA,2018,88.66046905517578
LURUACO,2018,43.9827766418457
MALAMBO,2018,89.04589080810547
MANATÍ,2018,88.13671112060547
PALMAR DE VARELA,2018,89.84935760498047
PIOJÓ,2018,29.361918131510418
POLONUEVO,2018,89.9574686686198
PONEDERA,2018,91.27904510498047
PUERTO COLOMBIA,2018,87.10991668701172
REPELÓN,2018,44.174598693847656
SABANAGRANDE,2018,89.15384674072266
SABANALARGA,2018,90.1188735961914
SANTA LUCÍA,2018,88.81549580891927
SANTO TOMÁS,2018,89.9574686686198
SOLEDAD,2018,88.67057800292969
SUAN,2018,89.58712005615234
TUBARÁ,2018,88.83016204833984
USIACURÍ,2018,89.88284810384114
BARRANQUILLA,2019,87.16896057128906
BARANOA,2019,90.46469116210938
CAMPO DE LA CRUZ,2019,88.3021469116211
CANDELARIA,2019,89.70257568359375
GALAPA,2019,89.6307601928711
JUAN DE ACOSTA,2019,87.79708099365234
LURUACO,2019,43.61069869995117
MALAMBO,2019,89.12086741129558
MANATÍ,2019,87.39611053466797
PALMAR DE VARELA,2019,89.57218170166016
PIOJÓ,2019,29.061325073242188
POLONUEVO,2019,89.60757700602214
PONEDERA,2019,90.99451446533203
PUERTO COLOMBIA,2019,87.46696472167969
REPELÓN,2019,43.830074310302734
SABANAGRANDE,2019,88.78585815429688
SABANALARGA,2019,89.59425354003906
SANTA LUCÍA,2019,88.30531819661458
SANTO TOMÁS,2019,89.60757700602214
SOLEDAD,2019,88.94598388671875
SUAN,2019,89.21769714355469
TUBARÁ,2019,88.9022445678711
USIACURÍ,2019,89.28534189860027
BARRANQUILLA,2020,87.11906433105469
BARANOA,2020,90.61671447753906
CAMPO DE LA CRUZ,2020,88.62660217285156
CANDELARIA,2020,90.01632690429688
GALAPA,2020,89.58642578125
JUAN DE ACOSTA,2020,88.4839096069336
LURUACO,2020,43.906776428222656
MALAMBO,2020,89.14006042480469
MANATÍ,2020,87.49669647216797
PALMAR DE VARELA,2020,89.67851257324219
PIOJÓ,2020,29.300371805826824
POLONUEVO,2020,89.74022674560547
PONEDERA,2020,91.16708374023438
PUERTO COLOMBIA,2020,87.41748809814453
REPELÓN,2020,43.87705993652344
SABANAGRANDE,2020,88.92545318603516
SABANALARGA,2020,89.94178009033203
SANTA LUCÍA,2020,88.54160563151042
SANTO TOMÁS,2020,89.74022674560547
SOLEDAD,2020,88.9083023071289
SUAN,2020,89.50151824951172
TUBARÁ,2020,89.03457641601562
USIACURÍ,2020,89.68080139160156
BARRANQUILLA,2021,86.59423828125
BARANOA,2021,90.45265197753906
CAMPO DE LA CRUZ,2021,88.5873794555664
CANDELARIA,2021,89.97857666015625
GALAPA,2021,89.12948608398438
JUAN DE ACOSTA,2021,88.74942016601562
LURUACO,2021,44.02111053466797
MALAMBO,2021,88.80518086751302
MANATÍ,2021,87.85797119140625
PALMAR DE VARELA,2021,89.56393432617188
PIOJÓ,2021,29.39288584391276
POLONUEVO,2021,89.59716033935547
PONEDERA,2021,91.09886169433594
PUERTO COLOMBIA,2021,86.90325164794922
REPELÓN,2021,44.0449333190918
SABANAGRANDE,2021,88.77489471435547
SABANALARGA,2021,89.98338317871094
SANTA LUCÍA,2021,88.63787587483723
SANTO TOMÁS,2021,89.59716033935547
SOLEDAD,2021,88.51116180419922
SUAN,2021,89.46827697753906
TUBARÁ,2021,88.85101318359375
USIACURÍ,2021,89.72848510742188
BARRANQUILLA,2022,87.1456298828125
BARANOA,2022,91.66358947753906
CAMPO DE LA CRUZ,2022,89.87853240966797
CANDELARIA,2022,91.22797393798828
GALAPA,2022,89.61040496826172
JUAN DE ACOSTA,2022,90.12423706054688
LURUACO,2022,44.613582611083984
MALAMBO,2022,89.47176361083984
MANATÍ,2022,88.86631774902344
PALMAR DE VARELA,2022,90.39368438720703
PIOJÓ,2022,29.8715337117513
POLONUEVO,2022,90.64460754394531
PONEDERA,2022,91.96289825439453
PUERTO COLOMBIA,2022,87.4440689086914
REPELÓN,2022,44.51401901245117
SABANAGRANDE,2022,89.87654876708984
SABANALARGA,2022,91.05322265625
SANTA LUCÍA,2022,89.78248087565105
SANTO TOMÁS,2022,90.64460754394531
SOLEDAD,2022,88.92833709716797
SUAN,2022,90.60259246826172
TUBARÁ,2022,89.30464935302734
USIACURÍ,2022,90.94701639811198
BARRANQUILLA,2023,87.08028411865234
BARANOA,2023,90.82515716552734
CAMPO DE LA CRUZ,2023,88.44047546386719
CANDELARIA,2023,89.83643341064453
GALAPA,2023,89.55340576171875
JUAN DE ACOSTA,2023,88.96965026855469
LURUACO,2023,44.11602020263672
MALAMBO,2023,89.18203226725261
MANATÍ,2023,87.96309661865234
PALMAR DE VARELA,2023,89.81917572021484
PIOJÓ,2023,29.469561258951824
POLONUEVO,2023,89.91937510172527
PONEDERA,2023,91.15849304199219
PUERTO COLOMBIA,2023,87.37997436523438
REPELÓN,2023,44.093833923339844
SABANAGRANDE,2023,89.1137924194336
SABANALARGA,2023,90.2286148071289
SANTA LUCÍA,2023,88.5809326171875
SANTO TOMÁS,2023,89.91937510172527
SOLEDAD,2023,88.87889862060547
SUAN,2023,89.33922576904297
TUBARÁ,2023,89.13164520263672
USIACURÍ,2023,90.00780741373698
