municipio,año,precipitacion
BARRANQUILLA,2017,356540.8429804077
BARANOA,2017,550048.4390133864
CAMPO DE LA CRUZ,2017,391557.69860685687
CANDELARIA,2017,391557.69860685687
GALAPA,2017,356540.8429804077
JUAN DE ACOSTA,2017,334188.09898441785
LURUACO,2017,167094.04949220893
MALAMBO,2017,421043.3749914006
MANATÍ,2017,364759.49596480146
PALMAR DE VARELA,2017,550048.4390133864
PIOJÓ,2017,111396.03299480595
POLONUEVO,2017,550048.4390133864
PONEDERA,2017,470803.0688101216
PUERTO COLOMBIA,2017,356540.8429804077
REPELÓN,2017,182379.74798240073
SABANAGRANDE,2017,550048.4390133864
SABANALARGA,2017,442118.2689989021
SANTA LUCÍA,2017,382624.96439283836
SANTO TOMÁS,2017,550048.4390133864
SOLEDAD,2017,356540.8429804077
SUAN,2017,391557.69860685687
TUBARÁ,2017,219832.37257087068
USIACURÍ,2017,442118.2689989021
BARRANQUILLA,2018,270510.114852288
BARANOA,2018,469218.2784120514
CAMPO DE LA CRUZ,2018,334465.0519275829
CANDELARIA,2018,334465.0519275829
GALAPA,2018,270510.114852288
JUAN DE ACOSTA,2018,241351.89145142084
LURUACO,2018,120675.94572571042
MALAMBO,2018,336746.1693722091
MANATÍ,2018,303922.06152697135
PALMAR DE VARELA,2018,469218.2784120514
PIOJÓ,2018,80450.63048380695
POLONUEVO,2018,469218.2784120513
PONEDERA,2018,401841.66516981716
PUERTO COLOMBIA,2018,270510.114852288
REPELÓN,2018,151961.03076348567
SABANAGRANDE,2018,469218.2784120514
SABANALARGA,2018,355285.0849317361
SANTA LUCÍA,2018,324284.055127379
SANTO TOMÁS,2018,469218.2784120513
SOLEDAD,2018,270510.114852288
SUAN,2018,334465.0519275829
TUBARÁ,2018,147985.44665997976
USIACURÍ,2018,355285.0849317361
BARRANQUILLA,2019,295433.5570295216
BARANOA,2019,434414.4670962634
CAMPO DE LA CRUZ,2019,305777.8848749644
CANDELARIA,2019,305777.8848749644
GALAPA,2019,295433.5570295216
JUAN DE ACOSTA,2019,214347.74718937807
LURUACO,2019,107173.87359468904
MALAMBO,2019,341760.5270517689
MANATÍ,2019,266313.205193918
PALMAR DE VARELA,2019,434414.4670962634
PIOJÓ,2019,71449.24906312603
POLONUEVO,2019,434414.46709626337
PONEDERA,2019,370096.17598561395
PUERTO COLOMBIA,2019,295433.5570295216
REPELÓN,2019,133156.602596959
SABANAGRANDE,2019,434414.4670962634
SABANALARGA,2019,324381.1071428207
SANTA LUCÍA,2019,292622.991647949
SANTO TOMÁS,2019,434414.46709626337
SOLEDAD,2019,295433.5570295216
SUAN,2019,305777.8848749644
TUBARÁ,2019,154603.92412912357
USIACURÍ,2019,324381.1071428207
BARRANQUILLA,2020,400126.4269212719
BARANOA,2020,546243.9351621221
CAMPO DE LA CRUZ,2020,381519.73769483995
CANDELARIA,2020,381519.73769483995
GALAPA,2020,400126.4269212719
JUAN DE ACOSTA,2020,300657.8360249273
LURUACO,2020,150328.91801246366
MALAMBO,2020,448832.26300155534
MANATÍ,2020,313398.2946734448
PALMAR DE VARELA,2020,546243.9351621221
PIOJÓ,2020,100219.27867497578
POLONUEVO,2020,546243.9351621221
PONEDERA,2020,463881.83642848104
PUERTO COLOMBIA,2020,400126.4269212719
REPELÓN,2020,156699.1473367224
SABANAGRANDE,2020,546243.9351621221
SABANALARGA,2020,423450.8855935247
SANTA LUCÍA,2020,358812.5900210415
SANTO TOMÁS,2020,546243.9351621221
SOLEDAD,2020,400126.4269212719
SUAN,2020,381519.73769483995
TUBARÁ,2020,239054.1635835757
USIACURÍ,2020,423450.88559352467
BARRANQUILLA,2021,374000.7461156257
BARANOA,2021,547501.4135851925
CAMPO DE LA CRUZ,2021,373539.15524139797
CANDELARIA,2021,373539.15524139797
GALAPA,2021,374000.7461156257
JUAN DE ACOSTA,2021,314017.8409539347
LURUACO,2021,157008.92047696735
MALAMBO,2021,431834.30193881463
MANATÍ,2021,348982.6209529785
PALMAR DE VARELA,2021,547501.4135851925
PIOJÓ,2021,104672.61365131156
POLONUEVO,2021,547501.4135851925
PONEDERA,2021,460520.2844132952
PUERTO COLOMBIA,2021,374000.7461156257
REPELÓN,2021,174491.31047648925
SABANAGRANDE,2021,547501.4135851925
SABANALARGA,2021,430759.6272695636
SANTA LUCÍA,2021,365353.64381192485
SANTO TOMÁS,2021,547501.4135851925
SOLEDAD,2021,374000.7461156257
SUAN,2021,373539.15524139797
TUBARÁ,2021,224050.5869322607
USIACURÍ,2021,430759.62726956356
BARRANQUILLA,2022,539119.4295429203
BARANOA,2022,689034.0819408143
CAMPO DE LA CRUZ,2022,463243.65935516683
CANDELARIA,2022,463243.65935516683
GALAPA,2022,539119.4295429203
JUAN DE ACOSTA,2022,447573.3034850473
LURUACO,2022,223786.65174252365
MALAMBO,2022,589090.9803422183
MANATÍ,2022,438751.0360493072
PALMAR DE VARELA,2022,689034.0819408143
PIOJÓ,2022,149191.10116168243
POLONUEVO,2022,689034.0819408143
PONEDERA,2022,576138.8706479906
PUERTO COLOMBIA,2022,539119.4295429203
REPELÓN,2022,219375.5180246536
SABANAGRANDE,2022,689034.0819408143
SABANALARGA,2022,568303.6927129307
SANTA LUCÍA,2022,455079.451586547
SANTO TOMÁS,2022,689034.0819408143
SOLEDAD,2022,539119.4295429203
SUAN,2022,463243.65935516683
TUBARÁ,2022,370542.3792909759
USIACURÍ,2022,568303.6927129307
BARRANQUILLA,2023,321774.9037373719
BARANOA,2023,469017.0736795909
CAMPO DE LA CRUZ,2023,340193.4900922155
CANDELARIA,2023,340193.4900922155
GALAPA,2023,321774.9037373719
JUAN DE ACOSTA,2023,275412.42767155985
LURUACO,2023,137706.21383577993
MALAMBO,2023,370855.6270514449
MANATÍ,2023,307207.62678143097
PALMAR DE VARELA,2023,469017.0736795909
PIOJÓ,2023,91804.14255718661
POLONUEVO,2023,469017.0736795909
PONEDERA,2023,404605.2818859032
PUERTO COLOMBIA,2023,321774.9037373719
REPELÓN,2023,153603.81339071548
SABANAGRANDE,2023,469017.0736795909
SABANALARGA,2023,372214.75067557534
SANTA LUCÍA,2023,329198.202321954
SANTO TOMÁS,2023,469017.0736795909
SOLEDAD,2023,321774.9037373719
SUAN,2023,340193.4900922155
