municipio,año,temp_min
BARRANQUILLA,2017,25.307111740112305
BARANOA,2017,23.99893569946289
CAMPO DE LA CRUZ,2017,24.782638549804688
CANDELARIA,2017,24.34598731994629
GALAPA,2017,24.436279296875
JUAN DE ACOSTA,2017,24.168296813964844
LURUACO,2017,12.237421989440918
MALAMBO,2017,24.69244956970215
MANATÍ,2017,24.972177505493164
PALMAR DE VARELA,2017,24.6790714263916
PIOJÓ,2017,8.089937210083008
POLONUEVO,2017,24.494722366333008
PONEDERA,2017,24.43119239807129
PUERTO COLOMBIA,2017,25.25789451599121
REPELÓN,2017,12.361727714538574
SABANAGRANDE,2017,24.80615997314453
SABANALARGA,2017,24.193450927734375
SANTA LUCÍA,2017,24.846304575602215
SANTO TOMÁS,2017,24.494722366333008
SOLEDAD,2017,24.834909439086914
SUAN,2017,24.78409767150879
TUBARÁ,2017,24.617919921875
USIACURÍ,2017,24.120227813720703
BARRANQUILLA,2018,25.1802921295166
BARANOA,2018,23.930356979370117
CAMPO DE LA CRUZ,2018,24.724422454833984
CANDELARIA,2018,24.290430068969727
GALAPA,2018,24.33010482788086
JUAN DE ACOSTA,2018,24.137725830078125
LURUACO,2018,12.224559783935547
MALAMBO,2018,24.601163228352863
MANATÍ,2018,24.889225006103516
PALMAR DE VARELA,2018,24.614431381225586
PIOJÓ,2018,8.080661137898764
POLONUEVO,2018,24.42803382873535
PONEDERA,2018,24.37114715576172
PUERTO COLOMBIA,2018,25.13245391845703
REPELÓN,2018,12.322629928588867
SABANAGRANDE,2018,24.73931312561035
SABANALARGA,2018,24.14867401123047
SANTA LUCÍA,2018,24.781070709228516
SANTO TOMÁS,2018,24.42803382873535
SOLEDAD,2018,24.734071731567383
SUAN,2018,24.729564666748047
TUBARÁ,2018,24.524106979370117
USIACURÍ,2018,24.07225227355957
BARRANQUILLA,2019,25.29327392578125
BARANOA,2019,24.197858810424805
CAMPO DE LA CRUZ,2019,24.987306594848633
CANDELARIA,2019,24.541309356689453
GALAPA,2019,24.424694061279297
JUAN DE ACOSTA,2019,24.43252944946289
LURUACO,2019,12.348577499389648
MALAMBO,2019,24.749553680419922
MANATÍ,2019,25.245838165283203
PALMAR DE VARELA,2019,24.86656951904297
PIOJÓ,2019,8.170105616251627
POLONUEVO,2019,24.688162485758465
PONEDERA,2019,24.623462677001953
PUERTO COLOMBIA,2019,25.24420928955078
REPELÓN,2019,12.490708351135254
SABANAGRANDE,2019,25.000059127807617
SABANALARGA,2019,24.401391983032227
SANTA LUCÍA,2019,25.069650650024414
SANTO TOMÁS,2019,24.688162485758465
SOLEDAD,2019,24.82390785217285
SUAN,2019,24.975807189941406
TUBARÁ,2019,24.625518798828125
USIACURÍ,2019,24.343926747639973
BARRANQUILLA,2020,25.21341896057129
BARANOA,2020,24.007429122924805
CAMPO DE LA CRUZ,2020,24.761123657226562
CANDELARIA,2020,24.325366973876953
GALAPA,2020,24.357528686523438
JUAN DE ACOSTA,2020,24.229068756103516
LURUACO,2020,12.262605667114258
MALAMBO,2020,24.643917083740234
MANATÍ,2020,25.059228897094727
PALMAR DE VARELA,2020,24.686717987060547
PIOJÓ,2020,8.108251571655273
POLONUEVO,2020,24.50280825297038
PONEDERA,2020,24.423748016357422
PUERTO COLOMBIA,2020,25.165130615234375
REPELÓN,2020,12.40271282196045
SABANAGRANDE,2020,24.81427764892578
SABANALARGA,2020,24.223953247070312
SANTA LUCÍA,2020,24.8614559173584
SANTO TOMÁS,2020,24.50280825297038
SOLEDAD,2020,24.759944915771484
SUAN,2020,24.764015197753906
TUBARÁ,2020,24.556325912475586
USIACURÍ,2020,24.153483708699543
BARRANQUILLA,2021,25.087055206298828
BARANOA,2021,23.827611923217773
CAMPO DE LA CRUZ,2021,24.603191375732422
CANDELARIA,2021,24.17473602294922
GALAPA,2021,24.25204849243164
JUAN DE ACOSTA,2021,23.984561920166016
LURUACO,2021,12.160126686096191
MALAMBO,2021,24.51705042521159
MANATÍ,2021,24.788665771484375
PALMAR DE VARELA,2021,24.517593383789062
PIOJÓ,2021,8.034191131591797
POLONUEVO,2021,24.328123092651367
PONEDERA,2021,24.263996124267578
PUERTO COLOMBIA,2021,25.040237426757812
REPELÓN,2021,12.275235176086426
SABANAGRANDE,2021,24.639163970947266
SABANALARGA,2021,24.033851623535156
SANTA LUCÍA,2021,24.669289271036785
SANTO TOMÁS,2021,24.328123092651367
SOLEDAD,2021,24.65993881225586
SUAN,2021,24.616010665893555
TUBARÁ,2021,24.40907859802246
USIACURÍ,2021,23.94867515563965
BARRANQUILLA,2022,24.884366989135742
BARANOA,2022,23.62594223022461
CAMPO DE LA CRUZ,2022,24.397056579589844
CANDELARIA,2022,23.978015899658203
GALAPA,2022,24.08235740661621
JUAN DE ACOSTA,2022,23.810726165771484
LURUACO,2022,12.086999893188477
MALAMBO,2022,24.34124183654785
MANATÍ,2022,24.598712921142578
PALMAR DE VARELA,2022,24.3275089263916
PIOJÓ,2022,7.9814497629801435
POLONUEVO,2022,24.13201332092285
PONEDERA,2022,24.069761276245117
PUERTO COLOMBIA,2022,24.839757919311523
REPELÓN,2022,12.18570613861084
SABANAGRANDE,2022,24.442588806152344
SABANALARGA,2022,23.864856719970703
SANTA LUCÍA,2022,24.47289784749349
SANTO TOMÁS,2022,24.13201332092285
SOLEDAD,2022,24.498779296875
SUAN,2022,24.422924041748047
TUBARÁ,2022,24.25986671447754
USIACURÍ,2022,23.767175038655598
BARRANQUILLA,2023,25.459774017333984
BARANOA,2023,24.22629165649414
CAMPO DE LA CRUZ,2023,24.98933982849121
CANDELARIA,2023,24.54324722290039
GALAPA,2023,24.564083099365234
JUAN DE ACOSTA,2023,24.36783218383789
LURUACO,2023,12.321361541748047
MALAMBO,2023,24.84938112894694
MANATÍ,2023,25.185945510864258
PALMAR DE VARELA,2023,24.893367767333984
PIOJÓ,2023,8.150476455688477
POLONUEVO,2023,24.715810139973957
PONEDERA,2023,24.637187957763672
PUERTO COLOMBIA,2023,25.408893585205078
REPELÓN,2023,12.462479591369629
SABANAGRANDE,2023,25.02777099609375
SABANALARGA,2023,24.38555145263672
SANTA LUCÍA,2023,25.050997416178387
SANTO TOMÁS,2023,24.715810139973957
SOLEDAD,2023,24.956289291381836
SUAN,2023,24.977706909179688
TUBARÁ,2023,24.73935317993164
USIACURÍ,2023,24.326558430989582
