municipio,precip_mm_dia
BARRANQUILLA,4.126629829406738
BARANOA,6.3663010597229
CAMPO DE LA CRUZ,4.531918048858643
CANDELARIA,4.531918048858643
GALAPA,4.126629829406738
JUAN DE ACOSTA,3.867918014526367
LURUACO,1.9339590072631836
MALAMBO,
MANATÍ,4.2217535972595215
PALMAR DE VARELA,6.3663010597229
PIOJÓ,1.2893060048421223
POLONUEVO,
PONEDERA,5.4491095542907715
PUERTO COLOMBIA,4.126629829406738
REPELÓN,2.1108767986297607
SABANAGRANDE,6.3663010597229
SABANALARGA,5.117109298706055
SANTA LUCÍA,
SANTO TOMÁS,
SOLEDAD,4.126629829406738
SUAN,4.531918048858643
TUBARÁ,2.544356107711792
USIACURÍ,
