municipio,año,humedad_relativa,precipitacion,temp_max,temp_min
ABEJORRAL,2017,0.0,0.0,0.0,0.0
ABEJORRAL,2018,0.0,0.0,0.0,0.0
ABEJORRAL,2019,0.0,0.0,0.0,0.0
ABEJORRAL,2020,0.0,0.0,0.0,0.0
ABEJORRAL,2021,0.0,0.0,0.0,0.0
ABEJORRAL,2022,0.0,0.0,0.0,0.0
ABEJORRAL,2023,0.0,0.0,0.0,0.0
ABRIAQUÍ,2017,0.0,0.0,0.0,0.0
ABRIAQUÍ,2018,0.0,0.0,0.0,0.0
ABRIAQUÍ,2019,0.0,0.0,0.0,0.0
ABRIAQUÍ,2020,0.0,0.0,0.0,0.0
ABRIAQUÍ,2021,0.0,0.0,0.0,0.0
ABRIAQUÍ,2022,0.0,0.0,0.0,0.0
ABRIAQUÍ,2023,0.0,0.0,0.0,0.0
ACACÍAS,2017,89.81,0.0,0.0,0.0
ACACÍAS,2018,0.0,523941.96,0.0,0.0
ACACÍAS,2019,0.0,0.0,0.0,0.0
ACACÍAS,2020,0.0,0.0,0.0,0.0
ACACÍAS,2021,0.0,0.0,0.0,0.0
ACACÍAS,2022,0.0,0.0,0.0,0.0
ACACÍAS,2023,0.0,0.0,0.0,0.0
ACANDÍ,2017,0.0,0.0,0.0,0.0
ACANDÍ,2018,0.0,0.0,0.0,0.0
ACANDÍ,2019,0.0,0.0,0.0,0.0
ACANDÍ,2020,0.0,0.0,0.0,0.0
ACANDÍ,2021,0.0,0.0,0.0,0.0
ACANDÍ,2022,0.0,0.0,0.0,0.0
ACANDÍ,2023,0.0,0.0,0.0,0.0
ACEVEDO,2017,0.0,0.0,0.0,0.0
ACEVEDO,2018,0.0,0.0,0.0,0.0
ACEVEDO,2019,0.0,0.0,0.0,0.0
ACEVEDO,2020,0.0,0.0,0.0,0.0
ACEVEDO,2021,0.0,0.0,0.0,0.0
ACEVEDO,2022,0.0,0.0,0.0,0.0
ACEVEDO,2023,0.0,0.0,0.0,0.0
ACHÍ,2017,93.47,0.0,0.0,0.0
ACHÍ,2018,0.0,477095.39,0.0,0.0
ACHÍ,2019,0.0,0.0,0.0,0.0
ACHÍ,2020,0.0,0.0,0.0,0.0
ACHÍ,2021,0.0,0.0,0.0,0.0
ACHÍ,2022,0.0,0.0,0.0,0.0
ACHÍ,2023,0.0,0.0,0.0,0.0
AGRADO,2017,0.0,0.0,0.0,0.0
