municipio,humedad_relativa,año
MEDELLÍN,0.0,2017
ABEJORRAL,0.0,2017
ABRIAQUÍ,0.0,2017
ALEJANDRÍA,,2017
AMAGÁ,0.0,2017
AMALFI,94.59,2017
ANDES,0.0,2017
ANGELÓPOLIS,0.0,2017
ANGOSTURA,0.0,2017
ANORÍ,60.56,2017
SANTA FÉ DE ANTIOQUIA,0.0,2017
ANZÁ,0.0,2017
APARTADÓ,0.0,2017
ARBOLETES,0.0,2017
ARGELIA,93.72,2017
ARMENIA,0.0,2017
BARBOSA,0.0,2017
BELMIRA,0.0,2017
BELLO,0.0,2017
BETANIA,0.0,2017
BETULIA,0.0,2017
CIUDAD BOLÍVAR,0.0,2017
BRICEÑO,0.0,2017
BURITICÁ,0.0,2017
CÁCERES,27.83,2017
CAICEDO,0.0,2017
CALDAS,0.0,2017
CAMPAMENTO,0.0,2017
CAÑASGORDAS,0.0,2017
CARACOLÍ,94.61,2017
CARAMANTA,,2017
CAREPA,0.0,2017
EL CARMEN DE VIBORAL,0.0,2017
CAROLINA,0.0,2017
CAUCASIA,86.61,2017
CHIGORODÓ,0.0,2017
CISNEROS,,2017
COCORNÁ,62.21,2017
CONCEPCIÓN,0.0,2017
CONCORDIA,0.0,2017
COPACABANA,0.0,2017
DABEIBA,0.0,2017
DONMATÍAS,0.0,2017
EBÉJICO,0.0,2017
EL BAGRE,95.17,2017
ENTRERRÍOS,0.0,2017
ENVIGADO,,2017
FREDONIA,0.0,2017
FRONTINO,0.0,2017
GIRALDO,,2017
GIRARDOTA,,2017
GÓMEZ PLATA,0.0,2017
GRANADA,95.73,2017
GUADALUPE,0.0,2017
GUARNE,0.0,2017
GUATAPÉ,,2017
HELICONIA,0.0,2017
HISPANIA,0.0,2017
ITAGÜÍ,0.0,2017
ITUANGO,0.0,2017
JARDÍN,0.0,2017
JERICÓ,0.0,2017
LA CEJA,,2017
LA ESTRELLA,,2017
LA PINTADA,0.0,2017
LA UNIÓN,0.0,2017
LIBORINA,0.0,2017
MACEO,93.68,2017
MARINILLA,0.0,2017
MONTEBELLO,0.0,2017
MURINDÓ,0.0,2017
MUTATÁ,0.0,2017
NARIÑO,46.45,2017
NECOCLÍ,0.0,2017
NECHÍ,95.52,2017
OLAYA,0.0,2017
PEÑOL,0.0,2017
PEQUE,0.0,2017
PUEBLORRICO,,2017
PUERTO BERRÍO,93.65,2017
PUERTO NARE,94.31,2017
PUERTO TRIUNFO,95.11,2017
REMEDIOS,94.32,2017
RETIRO,0.0,2017
RIONEGRO,0.0,2017
SABANALARGA,0.0,2017
SABANETA,,2017
SALGAR,0.0,2017
SAN ANDRÉS DE CUERQUÍA,0.0,2017
SAN CARLOS,94.57,2017
SAN FRANCISCO,95.73,2017
SAN JERÓNIMO,0.0,2017
SAN JOSÉ DE LA MONTAÑA,0.0,2017
SAN JUAN DE URABÁ,0.0,2017
SAN LUIS,95.5,2017
SAN PEDRO DE LOS MILAGROS,0.0,2017
SAN PEDRO DE URABÁ,0.0,2017
SAN RAFAEL,94.01,2017
SAN ROQUE,94.37,2017
SAN VICENTE FERRER,0.0,2017
SANTA BÁRBARA,0.0,2017
SANTA ROSA DE OSOS,0.0,2017
SANTO DOMINGO,63.21,2017
EL SANTUARIO,,2017
SEGOVIA,95.14,2017
SONSÓN,39.47,2017
SOPETRÁN,0.0,2017
TÁMESIS,0.0,2017
TARAZÁ,0.0,2017
TARSO,,2017
TITIRIBÍ,0.0,2017
TOLEDO,0.0,2017
TURBO,0.0,2017
URAMITA,0.0,2017
URRAO,0.0,2017
VALDIVIA,0.0,2017
VALPARAÍSO,0.0,2017
VEGACHÍ,93.59,2017
VENECIA,0.0,2017
VIGÍA DEL FUERTE,0.0,2017
YALÍ,93.62,2017
YARUMAL,0.0,2017
YOLOMBÓ,95.41,2017
YONDÓ,93.92,2017
ZARAGOZA,95.43,2017
BARRANQUILLA,86.89,2017
BARANOA,91.04,2017
CAMPO DE LA CRUZ,88.74,2017
CANDELARIA,90.13,2017
GALAPA,89.38,2017
JUAN DE ACOSTA,89.69,2017
LURUACO,44.43,2017
MALAMBO,,2017
MANATÍ,88.3,2017
PALMAR DE VARELA,89.97,2017
PIOJÓ,29.72,2017
POLONUEVO,,2017
PONEDERA,91.34,2017
PUERTO COLOMBIA,87.19,2017
REPELÓN,44.25,2017
SABANAGRANDE,89.31,2017
SABANALARGA,90.62,2017
SANTA LUCÍA,,2017
SANTO TOMÁS,,2017
SOLEDAD,88.73,2017
SUAN,89.6,2017
TUBARÁ,89.38,2017
USIACURÍ,,2017
"BOGOTÁ, D.C.",90.59,2017
CARTAGENA DE INDIAS,0.0,2017
ACHÍ,93.47,2017
ALTOS DEL ROSARIO,90.69,2017
ARENAL,91.08,2017
ARJONA,0.0,2017
ARROYOHONDO,88.3,2017
BARRANCO DE LOBA,91.47,2017
CALAMAR,88.5,2017
CANTAGALLO,93.56,2017
CICUCO,84.59,2017
CÓRDOBA,88.08,2017
CLEMENCIA,,2017
EL CARMEN DE BOLÍVAR,50.39,2017
EL GUAMO,87.36,2017
EL PEÑÓN,91.09,2017
HATILLO DE LOBA,90.48,2017
MAGANGUÉ,88.22,2017
MAHATES,22.23,2017
MARGARITA,91.87,2017
MARÍA LA BAJA,0.0,2017
MONTECRISTO,94.24,2017
SANTA CRUZ DE MOMPOX,87.14,2017
MORALES,89.09,2017
NOROSÍ,91.19,2017
PINILLOS,89.13,2017
REGIDOR,91.24,2017
RÍO VIEJO,90.93,2017
SAN CRISTÓBAL,,2017
SAN ESTANISLAO,0.0,2017
SAN FERNANDO,91.36,2017
SAN JACINTO,44.51,2017
SAN JACINTO DEL CAUCA,94.51,2017
SAN JUAN NEPOMUCENO,74.16,2017
SAN MARTÍN DE LOBA,91.68,2017
SAN PABLO,93.09,2017
SANTA CATALINA,0.0,2017
SANTA ROSA,0.0,2017
SANTA ROSA DEL SUR,92.57,2017
SIMITÍ,90.43,2017
SOPLAVIENTO,88.19,2017
TALAIGUA NUEVO,87.4,2017
TIQUISIO,92.76,2017
TURBACO,0.0,2017
TURBANA,0.0,2017
VILLANUEVA,0.0,2017
ZAMBRANO,87.6,2017
TUNJA,95.03,2017
ALMEIDA,,2017
AQUITANIA,90.05,2017
ARCABUCO,,2017
BELÉN,82.3,2017
BERBEO,88.5,2017
BETÉITIVA,78.55,2017
BOAVITA,84.19,2017
BOYACÁ,,2017
BRICEÑO,87.94,2017
BUENAVISTA,82.43,2017
BUSBANZÁ,,2017
CALDAS,88.56,2017
CAMPOHERMOSO,91.1,2017
CERINZA,,2017
CHINAVITA,95.08,2017
CHIQUINQUIRÁ,92.72,2017
